,training_examples,noise,sigma,acc
54,20,0.2222222222222222,1e-06,0.44
55,20,0.2222222222222222,1e-06,0.62
56,20,0.2222222222222222,1e-06,0.36
57,20,0.2222222222222222,1e-06,0.46
58,20,0.2222222222222222,1e-06,0.48
59,20,0.2222222222222222,1e-06,0.46
60,5,0.4444444444444444,1e-06,0.54
61,5,0.4444444444444444,1e-06,0.4
62,5,0.4444444444444444,1e-06,0.44
63,5,0.4444444444444444,1e-06,0.5
64,5,0.4444444444444444,1e-06,0.46
65,5,0.4444444444444444,1e-06,0.44
66,5,0.4444444444444444,1e-06,0.48
67,5,0.4444444444444444,1e-06,0.48
68,5,0.4444444444444444,1e-06,0.48
69,5,0.4444444444444444,1e-06,0.6
70,10,0.4444444444444444,1e-06,0.52
71,10,0.4444444444444444,1e-06,0.5
72,10,0.4444444444444444,1e-06,0.54
73,10,0.4444444444444444,1e-06,0.24
74,10,0.4444444444444444,1e-06,0.5
75,10,0.4444444444444444,1e-06,0.48
76,10,0.4444444444444444,1e-06,0.5
77,10,0.4444444444444444,1e-06,0.52
78,10,0.4444444444444444,1e-06,0.56
79,10,0.4444444444444444,1e-06,0.6
80,20,0.4444444444444444,1e-06,0.46
81,20,0.4444444444444444,1e-06,0.48
82,20,0.4444444444444444,1e-06,0.52
83,20,0.4444444444444444,1e-06,0.52
84,20,0.4444444444444444,1e-06,0.42
85,20,0.4444444444444444,1e-06,0.62
86,20,0.4444444444444444,1e-06,0.46
87,20,0.4444444444444444,1e-06,0.6
88,20,0.4444444444444444,1e-06,0.58
89,20,0.4444444444444444,1e-06,0.54
90,5,0.6666666666666666,1e-06,0.46
91,5,0.6666666666666666,1e-06,0.5
92,5,0.6666666666666666,1e-06,0.44
93,5,0.6666666666666666,1e-06,0.56
94,5,0.6666666666666666,1e-06,0.48
95,5,0.6666666666666666,1e-06,0.54
96,5,0.6666666666666666,1e-06,0.6
97,5,0.6666666666666666,1e-06,0.44
98,5,0.6666666666666666,1e-06,0.5
99,5,0.6666666666666666,1e-06,0.56
100,10,0.6666666666666666,1e-06,0.5
101,10,0.6666666666666666,1e-06,0.5
102,10,0.6666666666666666,1e-06,0.52
103,10,0.6666666666666666,1e-06,0.48
104,10,0.6666666666666666,1e-06,0.54
105,10,0.6666666666666666,1e-06,0.52
106,10,0.6666666666666666,1e-06,0.56
107,10,0.6666666666666666,1e-06,0.54
108,10,0.6666666666666666,1e-06,0.5
109,10,0.6666666666666666,1e-06,0.3
110,20,0.6666666666666666,1e-06,0.48
111,20,0.6666666666666666,1e-06,0.56
112,20,0.6666666666666666,1e-06,0.46
113,20,0.6666666666666666,1e-06,0.48
114,20,0.6666666666666666,1e-06,0.26
115,20,0.6666666666666666,1e-06,0.52
116,20,0.6666666666666666,1e-06,0.38
117,20,0.6666666666666666,1e-06,0.5
118,20,0.6666666666666666,1e-06,0.42
119,20,0.6666666666666666,1e-06,0.58
120,5,0.8888888888888888,1e-06,0.56
121,5,0.8888888888888888,1e-06,0.54
122,5,0.8888888888888888,1e-06,0.52
123,5,0.8888888888888888,1e-06,0.56
124,5,0.8888888888888888,1e-06,0.42
125,5,0.8888888888888888,1e-06,0.6
126,5,0.8888888888888888,1e-06,0.44
127,5,0.8888888888888888,1e-06,0.3
128,5,0.8888888888888888,1e-06,0.38
129,5,0.8888888888888888,1e-06,0.36
130,10,0.8888888888888888,1e-06,0.58
131,10,0.8888888888888888,1e-06,0.46
132,10,0.8888888888888888,1e-06,0.4
133,10,0.8888888888888888,1e-06,0.6
134,10,0.8888888888888888,1e-06,0.52
135,10,0.8888888888888888,1e-06,0.34
136,10,0.8888888888888888,1e-06,0.6
137,10,0.8888888888888888,1e-06,0.46
138,10,0.8888888888888888,1e-06,0.58
139,10,0.8888888888888888,1e-06,0.44
140,20,0.8888888888888888,1e-06,0.42
141,20,0.8888888888888888,1e-06,0.6
142,20,0.8888888888888888,1e-06,0.56
143,20,0.8888888888888888,1e-06,0.48
144,20,0.8888888888888888,1e-06,0.58
145,20,0.8888888888888888,1e-06,0.54
146,20,0.8888888888888888,1e-06,0.66
147,20,0.8888888888888888,1e-06,0.4
148,20,0.8888888888888888,1e-06,0.54
149,20,0.8888888888888888,1e-06,0.4
150,5,1.1111111111111112,1e-06,0.6
151,5,1.1111111111111112,1e-06,0.58
152,5,1.1111111111111112,1e-06,0.42
153,5,1.1111111111111112,1e-06,0.54
154,5,1.1111111111111112,1e-06,0.6
155,5,1.1111111111111112,1e-06,0.48
156,5,1.1111111111111112,1e-06,0.44
157,5,1.1111111111111112,1e-06,0.6
158,5,1.1111111111111112,1e-06,0.42
159,5,1.1111111111111112,1e-06,0.6
160,10,1.1111111111111112,1e-06,0.6
161,10,1.1111111111111112,1e-06,0.44
162,10,1.1111111111111112,1e-06,0.52
163,10,1.1111111111111112,1e-06,0.58
164,10,1.1111111111111112,1e-06,0.54
165,10,1.1111111111111112,1e-06,0.5
166,10,1.1111111111111112,1e-06,0.58
167,10,1.1111111111111112,1e-06,0.46
168,10,1.1111111111111112,1e-06,0.58
169,10,1.1111111111111112,1e-06,0.58
170,20,1.1111111111111112,1e-06,0.48
171,20,1.1111111111111112,1e-06,0.54
172,20,1.1111111111111112,1e-06,0.58
173,20,1.1111111111111112,1e-06,0.46
174,20,1.1111111111111112,1e-06,0.56
175,20,1.1111111111111112,1e-06,0.42
176,20,1.1111111111111112,1e-06,0.5
177,20,1.1111111111111112,1e-06,0.54
178,20,1.1111111111111112,1e-06,0.58
179,20,1.1111111111111112,1e-06,0.52
180,5,1.3333333333333333,1e-06,0.6
181,5,1.3333333333333333,1e-06,0.52
182,5,1.3333333333333333,1e-06,0.44
183,5,1.3333333333333333,1e-06,0.52
184,5,1.3333333333333333,1e-06,0.46
185,5,1.3333333333333333,1e-06,0.6
186,5,1.3333333333333333,1e-06,0.52
187,5,1.3333333333333333,1e-06,0.52
188,5,1.3333333333333333,1e-06,0.54
189,5,1.3333333333333333,1e-06,0.58
190,10,1.3333333333333333,1e-06,0.62
191,10,1.3333333333333333,1e-06,0.4
192,10,1.3333333333333333,1e-06,0.48
193,10,1.3333333333333333,1e-06,0.48
194,10,1.3333333333333333,1e-06,0.6
195,10,1.3333333333333333,1e-06,0.52
196,10,1.3333333333333333,1e-06,0.52
197,10,1.3333333333333333,1e-06,0.58
198,10,1.3333333333333333,1e-06,0.74
199,10,1.3333333333333333,1e-06,0.54
200,20,1.3333333333333333,1e-06,0.44
201,20,1.3333333333333333,1e-06,0.38
202,20,1.3333333333333333,1e-06,0.44
203,20,1.3333333333333333,1e-06,0.6
204,20,1.3333333333333333,1e-06,0.52
205,20,1.3333333333333333,1e-06,0.52
206,20,1.3333333333333333,1e-06,0.54
207,20,1.3333333333333333,1e-06,0.52
208,20,1.3333333333333333,1e-06,0.44
209,20,1.3333333333333333,1e-06,0.62
210,5,1.5555555555555554,1e-06,0.54
211,5,1.5555555555555554,1e-06,0.42
212,5,1.5555555555555554,1e-06,0.48
213,5,1.5555555555555554,1e-06,0.66
214,5,1.5555555555555554,1e-06,0.58
215,5,1.5555555555555554,1e-06,0.42
216,5,1.5555555555555554,1e-06,0.4
217,5,1.5555555555555554,1e-06,0.52
218,5,1.5555555555555554,1e-06,0.5
219,5,1.5555555555555554,1e-06,0.62
220,10,1.5555555555555554,1e-06,0.48
221,10,1.5555555555555554,1e-06,0.5
222,10,1.5555555555555554,1e-06,0.5
223,10,1.5555555555555554,1e-06,0.5
224,10,1.5555555555555554,1e-06,0.5
225,10,1.5555555555555554,1e-06,0.5
226,10,1.5555555555555554,1e-06,0.5
227,10,1.5555555555555554,1e-06,0.58
228,10,1.5555555555555554,1e-06,0.4
229,10,1.5555555555555554,1e-06,0.3
230,20,1.5555555555555554,1e-06,0.54
231,20,1.5555555555555554,1e-06,0.42
232,20,1.5555555555555554,1e-06,0.38
233,20,1.5555555555555554,1e-06,0.54
234,20,1.5555555555555554,1e-06,0.58
235,20,1.5555555555555554,1e-06,0.46
236,20,1.5555555555555554,1e-06,0.42
237,20,1.5555555555555554,1e-06,0.54
238,20,1.5555555555555554,1e-06,0.52
239,20,1.5555555555555554,1e-06,0.44
240,5,1.7777777777777777,1e-06,0.46
241,5,1.7777777777777777,1e-06,0.44
242,5,1.7777777777777777,1e-06,0.62
243,5,1.7777777777777777,1e-06,0.5
244,5,1.7777777777777777,1e-06,0.44
245,5,1.7777777777777777,1e-06,0.46
246,5,1.7777777777777777,1e-06,0.62
247,5,1.7777777777777777,1e-06,0.54
248,5,1.7777777777777777,1e-06,0.56
249,5,1.7777777777777777,1e-06,0.36
250,10,1.7777777777777777,1e-06,0.56
251,10,1.7777777777777777,1e-06,0.56
252,10,1.7777777777777777,1e-06,0.5
253,10,1.7777777777777777,1e-06,0.46
254,10,1.7777777777777777,1e-06,0.58
255,10,1.7777777777777777,1e-06,0.54
256,10,1.7777777777777777,1e-06,0.46
257,10,1.7777777777777777,1e-06,0.42
258,10,1.7777777777777777,1e-06,0.38
259,10,1.7777777777777777,1e-06,0.48
260,20,1.7777777777777777,1e-06,0.38
261,20,1.7777777777777777,1e-06,0.58
262,20,1.7777777777777777,1e-06,0.6
263,20,1.7777777777777777,1e-06,0.36
264,20,1.7777777777777777,1e-06,0.48
265,20,1.7777777777777777,1e-06,0.44
266,20,1.7777777777777777,1e-06,0.54
267,20,1.7777777777777777,1e-06,0.52
268,20,1.7777777777777777,1e-06,0.58
269,20,1.7777777777777777,1e-06,0.46
270,5,2.0,1e-06,0.58
271,5,2.0,1e-06,0.5
272,5,2.0,1e-06,0.42
273,5,2.0,1e-06,0.62
274,5,2.0,1e-06,0.58
275,5,2.0,1e-06,0.36
276,5,2.0,1e-06,0.48
277,5,2.0,1e-06,0.4
278,5,2.0,1e-06,0.46
279,5,2.0,1e-06,0.54
280,10,2.0,1e-06,0.54
281,10,2.0,1e-06,0.46
282,10,2.0,1e-06,0.54
283,10,2.0,1e-06,0.46
284,10,2.0,1e-06,0.66
285,10,2.0,1e-06,0.58
286,10,2.0,1e-06,0.56
287,10,2.0,1e-06,0.54
288,10,2.0,1e-06,0.56
289,10,2.0,1e-06,0.5
290,20,2.0,1e-06,0.54
291,20,2.0,1e-06,0.48
292,20,2.0,1e-06,0.46
293,20,2.0,1e-06,0.5
294,20,2.0,1e-06,0.6
295,20,2.0,1e-06,0.36
296,20,2.0,1e-06,0.54
297,20,2.0,1e-06,0.46
298,20,2.0,1e-06,0.54
299,20,2.0,1e-06,0.42
300,5,0.0,0.1052641052631579,0.5
301,5,0.0,0.1052641052631579,0.4
302,5,0.0,0.1052641052631579,0.64
303,5,0.0,0.1052641052631579,0.62
304,5,0.0,0.1052641052631579,0.48
305,5,0.0,0.1052641052631579,0.56
306,5,0.0,0.1052641052631579,0.32
307,5,0.0,0.1052641052631579,0.56
308,5,0.0,0.1052641052631579,0.5
